name,group,n_params,l2_abs,l2_rel,cos_sim,diff_mean,diff_std,diff_max
model.0.conv.weight,backbone,216,0.11898208409547806,0.1314586041885636,0.9913654327392578,0.006602893117815256,0.0046951356343925,0.023193359375
model.0.bn.weight,backbone,8,0.015972096472978592,0.00651575391459515,0.9999788403511047,0.0050048828125,0.0027958403807133436,0.009765625
model.0.bn.bias,backbone,8,0.13712838292121887,0.05727363665474505,0.9983847737312317,0.042236328125,0.025447238236665726,0.0751953125
model.0.bn.running_mean,backbone,8,0.10902179032564163,0.20183923956001837,0.9853319525718689,0.03231048583984375,0.022469062358140945,0.07818603515625
model.0.bn.running_var,backbone,8,0.02014123648405075,0.6517034400793887,0.9759591817855835,0.006163239479064941,0.003813233459368348,0.014739990234375
model.1.cv1.conv.weight,backbone,32,0.06375515460968018,0.10819641718975465,0.9941583871841431,0.00878848135471344,0.007168755400925875,0.02642822265625
model.1.cv1.bn.weight,backbone,4,0.015487061813473701,0.009590308994377544,0.9999602437019348,0.005859375,0.005845795851200819,0.01416015625
model.1.cv1.bn.bias,backbone,4,0.04161828011274338,0.07137000445437722,0.9981575012207031,0.0172119140625,0.01350408885627985,0.0367431640625
model.1.cv1.bn.running_mean,backbone,4,0.014068173244595528,0.08441193500519384,0.9994240999221802,0.0061492919921875,0.003943700809031725,0.00946044921875
model.1.cv1.bn.running_var,backbone,4,0.008081052452325821,0.2476695785750359,0.9984596967697144,0.00376129150390625,0.0017043232219293714,0.0055999755859375
model.1.cv2.conv.weight,backbone,32,0.07911115139722824,0.10189005370755043,0.9948194622993469,0.011413872241973877,0.008210393600165844,0.0262451171875
model.1.cv2.bn.weight,backbone,4,0.017933953553438187,0.009588850628540755,0.9999691247940063,0.0076904296875,0.005324654281139374,0.0146484375
model.1.cv2.bn.bias,backbone,4,0.06803271174430847,0.057238680286227604,0.9991051554679871,0.0257568359375,0.025656651705503464,0.06298828125
model.1.cv2.bn.running_mean,backbone,4,0.015431836247444153,0.13750933696604803,0.9974151849746704,0.0067043304443359375,0.004410191904753447,0.011474609375
model.1.cv2.bn.running_var,backbone,4,0.003172913333401084,0.1287736589988006,0.9918580055236816,0.0015554428100585938,0.000360448524588719,0.001861572265625
model.1.cv3.conv.weight,backbone,64,0.13426020741462708,0.1337721371613642,0.9910125732421875,0.012411177158355713,0.011386023834347725,0.0615234375
model.1.cv3.bn.weight,backbone,8,0.011637085117399693,0.004141360004418231,0.9999916553497314,0.003662109375,0.0020047584548592567,0.0068359375
model.1.cv3.bn.bias,backbone,8,0.14132918417453766,0.13733745295630148,0.9908992052078247,0.038407325744628906,0.03416965529322624,0.110107421875
model.1.cv3.bn.running_mean,backbone,8,0.07144524157047272,0.22562814916864463,0.9759690165519714,0.022996127605438232,0.011172973550856113,0.04599761962890625
model.1.cv3.bn.running_var,backbone,8,0.023126933723688126,0.18346399044626005,0.9833760261535645,0.0066814422607421875,0.005038731265813112,0.017852783203125
model.1.m.0.cv1.conv.weight,backbone,16,0.056696560233831406,0.16243701301510147,0.9867881536483765,0.0126495361328125,0.006604685448110104,0.02716064453125
model.1.m.0.cv1.bn.weight,backbone,4,0.008228661492466927,0.005443545135663484,0.9999920129776001,0.003173828125,0.003023140598088503,0.00732421875
model.1.m.0.cv1.bn.bias,backbone,4,0.027285924181342125,0.0281510584799343,0.9996348023414612,0.01165771484375,0.00818356778472662,0.018310546875
model.1.m.0.cv1.bn.running_mean,backbone,4,0.010169760324060917,0.1402478134585717,0.991375744342804,0.0042760372161865234,0.003177318023517728,0.007407188415527344
model.1.m.0.cv1.bn.running_var,backbone,4,0.0015807674499228597,0.12715180731165177,0.9921948313713074,0.0006122589111328125,0.0005771717987954617,0.00128936767578125
model.1.m.0.cv2.conv.weight,backbone,144,0.08152821660041809,0.12777680935850205,0.9918502569198608,0.005180917680263519,0.004410425666719675,0.0220947265625
model.1.m.0.cv2.bn.weight,backbone,4,0.01686515286564827,0.011499591042554214,0.9999489784240723,0.0084228515625,0.00046749369357712567,0.0087890625
model.1.m.0.cv2.bn.bias,backbone,4,0.04811173304915428,0.26298886392304716,0.9671866297721863,0.02066516876220703,0.01421902235597372,0.04058837890625
model.1.m.0.cv2.bn.running_mean,backbone,4,0.02746107243001461,0.08478274736207979,0.9971153736114502,0.0087890625,0.01218086015433073,0.0267333984375
model.1.m.0.cv2.bn.running_var,backbone,4,0.045477233827114105,0.24205678257628907,0.9917091131210327,0.014984130859375,0.0197491105645895,0.043212890625
model.2.conv.weight,backbone,216,4.426831947057508e-05,0.025666107746710846,1.0,2.613774086057674e-06,1.5004061424406245e-06,5.0067901611328125e-06
model.2.bn.weight,backbone,8,0.0,0.0,0.9999999403953552,0.0,0.0,0.0
model.2.bn.bias,backbone,8,0.0,0.0,1.0,0.0,0.0,0.0
model.2.bn.running_mean,backbone,8,0.0,0.0,0.0,0.0,0.0,0.0
model.2.bn.running_var,backbone,8,0.0,0.0,0.0,0.0,0.0,0.0
model.3.cv1.conv.weight,backbone,32,0.0005659811431542039,0.23835033747600246,0.9841876029968262,7.215514779090881e-05,7.042062497930601e-05,0.0003020763397216797
model.3.cv1.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.cv1.bn.bias,backbone,4,0.0,0.0,0.9999998807907104,0.0,0.0,0.0
model.3.cv1.bn.running_mean,backbone,4,8.377561607630923e-05,0.276258280695445,0.9845840334892273,3.738701343536377e-05,2.181130366807338e-05,6.681680679321289e-05
model.3.cv1.bn.running_var,backbone,4,0.0,0.0,0.0,0.0,0.0,0.0
model.3.cv2.conv.weight,backbone,32,2.7833837521029636e-05,0.0254684704059876,0.9999997615814209,4.144385457038879e-06,2.6946345315082e-06,9.059906005859375e-06
model.3.cv2.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.cv2.bn.bias,backbone,4,1.6184389096451923e-05,0.00014344664652164143,1.0,5.7220458984375e-06,6.607249360968126e-06,1.1444091796875e-05
model.3.cv2.bn.running_mean,backbone,4,1.1340557648509275e-06,0.024895067045325726,0.9999973773956299,4.76837158203125e-07,3.5430102229838667e-07,8.940696716308594e-07
model.3.cv2.bn.running_var,backbone,4,0.0,0.0,0.0,0.0,0.0,0.0
model.3.cv3.conv.weight,backbone,64,0.020108284428715706,0.1090421304678414,0.9940912127494812,0.0007126415148377419,0.002429449697956443,0.01556396484375
model.3.cv3.bn.weight,backbone,8,0.0035547411534935236,0.0012448298981510295,0.9999993443489075,0.00067138671875,0.0011357881594449282,0.0029296875
model.3.cv3.bn.bias,backbone,8,0.025323085486888885,0.1470835768628792,0.9939678907394409,0.0044040679931640625,0.008333170786499977,0.02496337890625
model.3.cv3.bn.running_mean,backbone,8,0.0005257554585114121,0.406114296247966,0.956437885761261,0.00011362135410308838,0.0001572715409565717,0.0004191398620605469
model.3.cv3.bn.running_var,backbone,8,0.0004764854093082249,0.37024623872618784,0.92896568775177,9.772181510925293e-05,0.00014669790107291192,0.0003826618194580078
model.3.m.0.cv1.conv.weight,backbone,16,0.00041847352986223996,0.3053890456983122,0.9626425504684448,6.719306111335754e-05,8.281769987661391e-05,0.0003063082695007324
model.3.m.0.cv1.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.m.0.cv1.bn.bias,backbone,4,0.019793467596173286,0.018452713776701588,0.999967098236084,0.00689697265625,0.008195698261260986,0.01904296875
model.3.m.0.cv1.bn.running_mean,backbone,4,1.2684170542343054e-05,0.47251412862407804,0.9402357935905457,4.4405460357666016e-06,5.228587724559475e-06,1.2218952178955078e-05
model.3.m.0.cv1.bn.running_var,backbone,4,0.0,0.0,0.0,0.0,0.0,0.0
model.3.m.0.cv2.conv.weight,backbone,144,0.0355336032807827,0.16329897002448787,0.9866023063659668,0.001356013584882021,0.002641590079292655,0.01465606689453125
model.3.m.0.cv2.bn.weight,backbone,4,0.0027621358167380095,0.0013305628452308503,0.9999991059303284,0.0009765625,0.0011276372242718935,0.001953125
model.3.m.0.cv2.bn.bias,backbone,4,0.004204952623695135,0.03339720621804573,0.9994466304779053,0.001434326171875,0.0017750548431649804,0.0037689208984375
model.3.m.0.cv2.bn.running_mean,backbone,4,0.03505409136414528,0.13464183046975164,0.992193341255188,0.012492179870605469,0.014195903204381466,0.0321044921875
model.3.m.0.cv2.bn.running_var,backbone,4,1.7132473658421077e-05,0.1995965144932227,0.984386682510376,5.587935447692871e-06,7.497145361412549e-06,1.627206802368164e-05
model.4.spatial_attention.conv.weight,other,98,0.05127426236867905,0.19891139610393901,0.9816584587097168,0.0034995030146092176,0.0038380767218768597,0.0160980224609375
model.4.channel_attention.f1.weight,other,16,0.0,0.0,1.0,0.0,0.0,0.0
model.4.channel_attention.f2.weight,other,16,0.0,0.0,0.9999998807907104,0.0,0.0,0.0
model.5.cv1.conv.weight,other,128,0.10580499470233917,0.12706174957360927,0.9919037222862244,0.006537311244755983,0.0067137377336621284,0.02911376953125
model.5.cv1.bn.weight,other,8,0.010113434866070747,0.0037636397193822643,0.9999943375587463,0.00323486328125,0.0016286211321130395,0.00537109375
model.5.cv1.bn.bias,other,8,0.05912327393889427,0.11078233037088585,0.9944326877593994,0.015572547912597656,0.014906985685229301,0.04388427734375
model.5.cv1.bn.running_mean,other,8,0.0306084044277668,0.12128374664090073,0.9929550290107727,0.009443283081054688,0.00565015384927392,0.01806640625
model.5.cv1.bn.running_var,other,8,0.028649164363741875,0.2674800841614828,0.9641306400299072,0.00722503662109375,0.0075891404412686825,0.023101806640625
model.5.cv2.conv.weight,other,128,0.07402502000331879,0.11146332678860885,0.993776261806488,0.004192661959677935,0.005042861215770245,0.021820068359375
model.5.cv2.bn.weight,other,8,0.006765823345631361,0.002275497456505421,0.9999973773956299,0.001953125,0.001476423698477447,0.0048828125
model.5.cv2.bn.bias,other,8,0.04766451194882393,0.08785804906196004,0.9987099766731262,0.013563156127929688,0.010692000389099121,0.0341796875
model.5.cv2.bn.running_mean,other,8,0.03166141360998154,0.26367791942616065,0.9769917726516724,0.00897359848022461,0.007153833284974098,0.022979736328125
model.5.cv2.bn.running_var,other,8,0.024396341294050217,0.291837585211428,0.9724876880645752,0.0064525604248046875,0.006119024008512497,0.016021728515625
model.5.cv3.conv.weight,other,256,0.15865777432918549,0.16114929847886117,0.9869579076766968,0.0075415996834635735,0.006451052613556385,0.03989410400390625
model.5.cv3.bn.weight,other,16,0.01465657353401184,0.00369162746789992,0.9999935030937195,0.002838134765625,0.0023935330100357533,0.00830078125
model.5.cv3.bn.bias,other,16,0.0739271491765976,0.07650532302440738,0.9982858896255493,0.013470649719238281,0.01306876353919506,0.04248046875
model.5.cv3.bn.running_mean,other,16,0.04626455903053284,0.12562577965740457,0.992111325263977,0.009913444519042969,0.006153521593660116,0.024658203125
model.5.cv3.bn.running_var,other,16,0.03554137796163559,0.16406906065262933,0.9883211851119995,0.007296085357666016,0.005237454082816839,0.019287109375
model.5.m.0.cv1.conv.weight,other,64,0.10670842975378036,0.19412951807487552,0.9812441468238831,0.009585924446582794,0.009348399937152863,0.036631107330322266
model.5.m.0.cv1.bn.weight,other,8,0.005393242463469505,0.0019305290145614227,0.9999980926513672,0.0015869140625,0.0011301514459773898,0.00390625
model.5.m.0.cv1.bn.bias,other,8,0.0177893228828907,0.06306978665462037,0.9988139867782593,0.005440950393676758,0.003372758161276579,0.01165771484375
model.5.m.0.cv1.bn.running_mean,other,8,0.02360701374709606,0.2039404330485783,0.9799607992172241,0.006477236747741699,0.005627157632261515,0.0159912109375
model.5.m.0.cv1.bn.running_var,other,8,0.010387904942035675,0.29407551856611497,0.9880419969558716,0.0030875205993652344,0.0021262411028146744,0.00738525390625
model.5.m.0.cv2.conv.weight,other,576,0.14904217422008514,0.22214460353909268,0.9755026698112488,0.004560892470180988,0.004218338523060083,0.02407073974609375
model.5.m.0.cv2.bn.weight,other,8,0.010125215165317059,0.004159712429040503,0.9999913573265076,0.0025634765625,0.0026712408289313316,0.0078125
model.5.m.0.cv2.bn.bias,other,8,0.05067937821149826,0.0890808756853085,0.997845470905304,0.0135498046875,0.012533508241176605,0.0361328125
model.5.m.0.cv2.bn.running_mean,other,8,0.05485273897647858,0.24916622060235713,0.9840579032897949,0.015057563781738281,0.013065665028989315,0.03900146484375
model.5.m.0.cv2.bn.running_var,other,8,0.02928776666522026,0.12828991684562424,0.992260217666626,0.009166717529296875,0.005148419179022312,0.017059326171875
model.6.conv.weight,other,4608,0.3190627992153168,0.22572773037874258,0.9744078516960144,0.003475697012618184,0.0031644839327782393,0.03168296813964844
model.6.bn.weight,other,32,0.015417629852890968,0.0024145407882746415,0.999997615814209,0.0018157958984375,0.0020650364458560944,0.009765625
model.6.bn.bias,other,32,0.04097868874669075,0.050729972417923506,0.9988258481025696,0.00576406717300415,0.004457940347492695,0.017822265625
model.6.bn.running_mean,other,32,0.1792372763156891,0.2692277045289041,0.9777387380599976,0.027097761631011963,0.01668374054133892,0.05889892578125
model.6.bn.running_var,other,32,0.12030995637178421,0.22700917172890336,0.9757225513458252,0.014190196990966797,0.016095392405986786,0.0697021484375
model.7.cv1.conv.weight,other,512,0.17868266999721527,0.20408018741220751,0.9791273474693298,0.006114053074270487,0.005002561956644058,0.028839111328125
model.7.cv1.bn.weight,other,16,0.009029903449118137,0.002308159655195066,0.9999973773956299,0.00189208984375,0.0012717203935608268,0.00537109375
model.7.cv1.bn.bias,other,16,0.05624924227595329,0.10099810478506868,0.9953485727310181,0.010246634483337402,0.009946794249117374,0.033935546875
model.7.cv1.bn.running_mean,other,16,0.06425075232982635,0.24911358837009934,0.97191321849823,0.01253056526184082,0.010379202663898468,0.038753509521484375
model.7.cv1.bn.running_var,other,16,0.05206489562988281,0.18105721174351438,0.9920240640640259,0.010697364807128906,0.007658613845705986,0.02392578125
model.7.cv2.conv.weight,other,512,0.13070529699325562,0.1899668720904414,0.9819204211235046,0.004391520284116268,0.00375620205886662,0.0211334228515625
model.7.cv2.bn.weight,other,16,0.008624766021966934,0.0021422949235712736,0.9999980926513672,0.00152587890625,0.00157339742872864,0.005859375
