name,group,n_params,l2_abs,l2_rel,cos_sim,diff_mean,diff_std,diff_max
model.0.conv.weight,backbone,216,0.11898208409547806,0.1314586041885636,0.9913654327392578,0.006602893117815256,0.0046951356343925,0.023193359375
model.0.bn.weight,backbone,8,0.015972096472978592,0.00651575391459515,0.9999788403511047,0.0050048828125,0.0027958403807133436,0.009765625
model.0.bn.bias,backbone,8,0.13712838292121887,0.05727363665474505,0.9983847737312317,0.042236328125,0.025447238236665726,0.0751953125
model.1.cv1.conv.weight,backbone,32,0.06375515460968018,0.10819641718975465,0.9941583871841431,0.00878848135471344,0.007168755400925875,0.02642822265625
model.1.cv1.bn.weight,backbone,4,0.015487061813473701,0.009590308994377544,0.9999602437019348,0.005859375,0.005845795851200819,0.01416015625
model.1.cv1.bn.bias,backbone,4,0.04161828011274338,0.07137000445437722,0.9981575012207031,0.0172119140625,0.01350408885627985,0.0367431640625
model.1.cv2.conv.weight,backbone,32,0.07911115139722824,0.10189005370755043,0.9948194622993469,0.011413872241973877,0.008210393600165844,0.0262451171875
model.1.cv2.bn.weight,backbone,4,0.017933953553438187,0.009588850628540755,0.9999691247940063,0.0076904296875,0.005324654281139374,0.0146484375
model.1.cv2.bn.bias,backbone,4,0.06803271174430847,0.057238680286227604,0.9991051554679871,0.0257568359375,0.025656651705503464,0.06298828125
model.1.cv3.conv.weight,backbone,64,0.13426020741462708,0.1337721371613642,0.9910125732421875,0.012411177158355713,0.011386023834347725,0.0615234375
model.1.cv3.bn.weight,backbone,8,0.011637085117399693,0.004141360004418231,0.9999916553497314,0.003662109375,0.0020047584548592567,0.0068359375
model.1.cv3.bn.bias,backbone,8,0.14132918417453766,0.13733745295630148,0.9908992052078247,0.038407325744628906,0.03416965529322624,0.110107421875
model.1.m.0.cv1.conv.weight,backbone,16,0.056696560233831406,0.16243701301510147,0.9867881536483765,0.0126495361328125,0.006604685448110104,0.02716064453125
model.1.m.0.cv1.bn.weight,backbone,4,0.008228661492466927,0.005443545135663484,0.9999920129776001,0.003173828125,0.003023140598088503,0.00732421875
model.1.m.0.cv1.bn.bias,backbone,4,0.027285924181342125,0.0281510584799343,0.9996348023414612,0.01165771484375,0.00818356778472662,0.018310546875
model.1.m.0.cv2.conv.weight,backbone,144,0.08152821660041809,0.12777680935850205,0.9918502569198608,0.005180917680263519,0.004410425666719675,0.0220947265625
model.1.m.0.cv2.bn.weight,backbone,4,0.01686515286564827,0.011499591042554214,0.9999489784240723,0.0084228515625,0.00046749369357712567,0.0087890625
model.1.m.0.cv2.bn.bias,backbone,4,0.04811173304915428,0.26298886392304716,0.9671866297721863,0.02066516876220703,0.01421902235597372,0.04058837890625
model.2.conv.weight,backbone,216,4.426831947057508e-05,0.025666107746710846,1.0,2.613774086057674e-06,1.5004061424406245e-06,5.0067901611328125e-06
model.2.bn.weight,backbone,8,0.0,0.0,0.9999999403953552,0.0,0.0,0.0
model.2.bn.bias,backbone,8,0.0,0.0,1.0,0.0,0.0,0.0
model.3.cv1.conv.weight,backbone,32,0.0005659811431542039,0.23835033747600246,0.9841876029968262,7.215514779090881e-05,7.042062497930601e-05,0.0003020763397216797
model.3.cv1.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.cv1.bn.bias,backbone,4,0.0,0.0,0.9999998807907104,0.0,0.0,0.0
model.3.cv2.conv.weight,backbone,32,2.7833837521029636e-05,0.0254684704059876,0.9999997615814209,4.144385457038879e-06,2.6946345315082e-06,9.059906005859375e-06
model.3.cv2.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.cv2.bn.bias,backbone,4,1.6184389096451923e-05,0.00014344664652164143,1.0,5.7220458984375e-06,6.607249360968126e-06,1.1444091796875e-05
model.3.cv3.conv.weight,backbone,64,0.020108284428715706,0.1090421304678414,0.9940912127494812,0.0007126415148377419,0.002429449697956443,0.01556396484375
model.3.cv3.bn.weight,backbone,8,0.0035547411534935236,0.0012448298981510295,0.9999993443489075,0.00067138671875,0.0011357881594449282,0.0029296875
model.3.cv3.bn.bias,backbone,8,0.025323085486888885,0.1470835768628792,0.9939678907394409,0.0044040679931640625,0.008333170786499977,0.02496337890625
model.3.m.0.cv1.conv.weight,backbone,16,0.00041847352986223996,0.3053890456983122,0.9626425504684448,6.719306111335754e-05,8.281769987661391e-05,0.0003063082695007324
model.3.m.0.cv1.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.m.0.cv1.bn.bias,backbone,4,0.019793467596173286,0.018452713776701588,0.999967098236084,0.00689697265625,0.008195698261260986,0.01904296875
model.3.m.0.cv2.conv.weight,backbone,144,0.0355336032807827,0.16329897002448787,0.9866023063659668,0.001356013584882021,0.002641590079292655,0.01465606689453125
model.3.m.0.cv2.bn.weight,backbone,4,0.0027621358167380095,0.0013305628452308503,0.9999991059303284,0.0009765625,0.0011276372242718935,0.001953125
model.3.m.0.cv2.bn.bias,backbone,4,0.004204952623695135,0.03339720621804573,0.9994466304779053,0.001434326171875,0.0017750548431649804,0.0037689208984375
model.4.spatial_attention.conv.weight,other,98,0.05127426236867905,0.19891139610393901,0.9816584587097168,0.0034995030146092176,0.0038380767218768597,0.0160980224609375
model.4.channel_attention.f1.weight,other,16,0.0,0.0,1.0,0.0,0.0,0.0
model.4.channel_attention.f2.weight,other,16,0.0,0.0,0.9999998807907104,0.0,0.0,0.0
model.5.cv1.conv.weight,other,128,0.10580499470233917,0.12706174957360927,0.9919037222862244,0.006537311244755983,0.0067137377336621284,0.02911376953125
model.5.cv1.bn.weight,other,8,0.010113434866070747,0.0037636397193822643,0.9999943375587463,0.00323486328125,0.0016286211321130395,0.00537109375
model.5.cv1.bn.bias,other,8,0.05912327393889427,0.11078233037088585,0.9944326877593994,0.015572547912597656,0.014906985685229301,0.04388427734375
model.5.cv2.conv.weight,other,128,0.07402502000331879,0.11146332678860885,0.993776261806488,0.004192661959677935,0.005042861215770245,0.021820068359375
model.5.cv2.bn.weight,other,8,0.006765823345631361,0.002275497456505421,0.9999973773956299,0.001953125,0.001476423698477447,0.0048828125
model.5.cv2.bn.bias,other,8,0.04766451194882393,0.08785804906196004,0.9987099766731262,0.013563156127929688,0.010692000389099121,0.0341796875
model.5.cv3.conv.weight,other,256,0.15865777432918549,0.16114929847886117,0.9869579076766968,0.0075415996834635735,0.006451052613556385,0.03989410400390625
model.5.cv3.bn.weight,other,16,0.01465657353401184,0.00369162746789992,0.9999935030937195,0.002838134765625,0.0023935330100357533,0.00830078125
model.5.cv3.bn.bias,other,16,0.0739271491765976,0.07650532302440738,0.9982858896255493,0.013470649719238281,0.01306876353919506,0.04248046875
model.5.m.0.cv1.conv.weight,other,64,0.10670842975378036,0.19412951807487552,0.9812441468238831,0.009585924446582794,0.009348399937152863,0.036631107330322266
model.5.m.0.cv1.bn.weight,other,8,0.005393242463469505,0.0019305290145614227,0.9999980926513672,0.0015869140625,0.0011301514459773898,0.00390625
model.5.m.0.cv1.bn.bias,other,8,0.0177893228828907,0.06306978665462037,0.9988139867782593,0.005440950393676758,0.003372758161276579,0.01165771484375
model.5.m.0.cv2.conv.weight,other,576,0.14904217422008514,0.22214460353909268,0.9755026698112488,0.004560892470180988,0.004218338523060083,0.02407073974609375
model.5.m.0.cv2.bn.weight,other,8,0.010125215165317059,0.004159712429040503,0.9999913573265076,0.0025634765625,0.0026712408289313316,0.0078125
model.5.m.0.cv2.bn.bias,other,8,0.05067937821149826,0.0890808756853085,0.997845470905304,0.0135498046875,0.012533508241176605,0.0361328125
model.6.conv.weight,other,4608,0.3190627992153168,0.22572773037874258,0.9744078516960144,0.003475697012618184,0.0031644839327782393,0.03168296813964844
model.6.bn.weight,other,32,0.015417629852890968,0.0024145407882746415,0.999997615814209,0.0018157958984375,0.0020650364458560944,0.009765625
model.6.bn.bias,other,32,0.04097868874669075,0.050729972417923506,0.9988258481025696,0.00576406717300415,0.004457940347492695,0.017822265625
model.7.cv1.conv.weight,other,512,0.17868266999721527,0.20408018741220751,0.9791273474693298,0.006114053074270487,0.005002561956644058,0.028839111328125
model.7.cv1.bn.weight,other,16,0.009029903449118137,0.002308159655195066,0.9999973773956299,0.00189208984375,0.0012717203935608268,0.00537109375
model.7.cv1.bn.bias,other,16,0.05624924227595329,0.10099810478506868,0.9953485727310181,0.010246634483337402,0.009946794249117374,0.033935546875
model.7.cv2.conv.weight,other,512,0.13070529699325562,0.1899668720904414,0.9819204211235046,0.004391520284116268,0.00375620205886662,0.0211334228515625
model.7.cv2.bn.weight,other,16,0.008624766021966934,0.0021422949235712736,0.9999980926513672,0.00152587890625,0.00157339742872864,0.005859375
model.7.cv2.bn.bias,other,16,0.025413045659661293,0.07546400473937245,0.9973966479301453,0.004251614212989807,0.004875813145190477,0.018707275390625
model.7.cv3.conv.weight,other,1024,0.21338680386543274,0.19340197520810515,0.9812677502632141,0.005043377634137869,0.004364594351500273,0.030029296875
model.7.cv3.bn.weight,other,32,0.019840087741613388,0.0034505333106568514,0.999994158744812,0.0023040771484375,0.0026865757536143064,0.0126953125
model.7.cv3.bn.bias,other,32,0.07822620123624802,0.12027694433986023,0.9930770397186279,0.010029137134552002,0.009673148393630981,0.03814697265625
model.7.m.0.cv1.conv.weight,other,256,0.11719941347837448,0.20313213631186985,0.9793931841850281,0.005814839154481888,0.004463244695216417,0.02462005615234375
model.7.m.0.cv1.bn.weight,other,16,0.01017220038920641,0.002542703638119852,0.9999971389770508,0.00189208984375,0.0017548713367432356,0.005859375
model.7.m.0.cv1.bn.bias,other,16,0.035691726952791214,0.11818707429583433,0.9938580393791199,0.007213592529296875,0.005424172151833773,0.02117919921875
model.7.m.0.cv2.conv.weight,other,2304,0.2938357889652252,0.28408903750613207,0.9595898389816284,0.004635607823729515,0.00399897713214159,0.0285491943359375
model.7.m.0.cv2.bn.weight,other,16,0.014882569201290607,0.003640671383594362,0.9999973773956299,0.003143310546875,0.0020559579133987427,0.0068359375
model.7.m.0.cv2.bn.bias,other,16,0.03975546360015869,0.11711161234260013,0.994412899017334,0.008547961711883545,0.0052371397614479065,0.01849365234375
model.8.conv.weight,other,18432,0.42698994278907776,0.24446789918535633,0.970064640045166,0.0023372280411422253,0.0021045489702373743,0.01976776123046875
model.8.bn.weight,other,64,0.012226547114551067,0.001526517563983526,0.9999989867210388,0.00109100341796875,0.0010787263745442033,0.0048828125
model.8.bn.bias,other,64,0.05787410959601402,0.07936613102882974,0.9970444440841675,0.00590834766626358,0.004207446239888668,0.018682479858398438
model.9.cv1.conv.weight,other,2048,0.22668273746967316,0.21015146898588746,0.977867066860199,0.003671222599223256,0.003408543998375535,0.0269775390625
model.9.cv1.bn.weight,other,32,0.011728918179869652,0.0021251998288548983,0.9999979734420776,0.0015106201171875,0.001442940323613584,0.00537109375
model.9.cv1.bn.bias,other,32,0.07565142959356308,0.09533827756862755,0.9969674348831177,0.011022046208381653,0.007694996427744627,0.02557373046875
model.9.cv2.conv.weight,other,2048,0.16608430445194244,0.18451128648495,0.9828842282295227,0.002742156619206071,0.0024397203233093023,0.017475128173828125
model.9.cv2.bn.weight,other,32,0.007176239509135485,0.0012787792305537168,0.9999992251396179,0.000885009765625,0.0009234343306161463,0.00341796875
model.9.cv2.bn.bias,other,32,0.0336536206305027,0.08280650789243411,0.9968391060829163,0.004984639585018158,0.0032994330395013094,0.0153350830078125
model.9.cv3.conv.weight,other,4096,0.3524344861507416,0.20478731123241334,0.9789453744888306,0.0042071095667779446,0.0035535977222025394,0.0255126953125
model.9.cv3.bn.weight,other,64,0.02062952145934105,0.002551231757936717,0.9999977350234985,0.00186920166015625,0.0017904802225530148,0.00830078125
model.9.cv3.bn.bias,other,64,0.07856351137161255,0.14631725010657282,0.9910443425178528,0.008230026811361313,0.0054003107361495495,0.02252197265625
model.9.m.0.cv1.conv.weight,other,1024,0.1634751409292221,0.1990169202179011,0.9802004098892212,0.003765902016311884,0.003453607903793454,0.0286865234375
model.9.m.0.cv1.bn.weight,other,32,0.011789742857217789,0.002074721789817112,0.9999978542327881,0.0016021728515625,0.0013542689848691225,0.005859375
model.9.m.0.cv1.bn.bias,other,32,0.030271539464592934,0.11221030770776559,0.993793249130249,0.004468085244297981,0.0029920588713139296,0.00986480712890625
model.9.m.0.cv2.conv.weight,other,9216,0.3831206262111664,0.24729269468063503,0.9693264961242676,0.002986274193972349,0.002647590357810259,0.0204315185546875
model.9.m.0.cv2.bn.weight,other,32,0.015814585611224174,0.002763104002729997,0.9999979138374329,0.0021209716796875,0.0018504438921809196,0.0087890625
model.9.m.0.cv2.bn.bias,other,32,0.08021267503499985,0.24252431874372624,0.97714763879776,0.0104447603225708,0.0097436448559165,0.034023284912109375
model.10.conv.weight,neck,73728,0.6770411729812622,0.2867486385147116,0.9591615200042725,0.0019020450999960303,0.0016122849192470312,0.0161285400390625
model.10.bn.weight,neck,128,0.012955565936863422,0.001140879362128166,0.9999995231628418,0.00091552734375,0.0006905339541845024,0.0029296875
model.10.bn.bias,neck,128,0.06679166853427887,0.1358761950553274,0.9911136627197266,0.00445147417485714,0.003892985638231039,0.017913818359375
model.11.cv1.conv.weight,neck,8192,0.36613649129867554,0.21490619417421403,0.9769834280014038,0.003064448945224285,0.00264088436961174,0.0193939208984375
model.11.cv1.bn.weight,neck,64,0.01611328125,0.0021543570839213304,0.9999982714653015,0.00156402587890625,0.0012791522312909365,0.00537109375
model.11.cv1.bn.bias,neck,64,0.12315400689840317,0.19079892251443878,0.9823904633522034,0.012499630451202393,0.009056700393557549,0.040283203125
model.11.cv2.conv.weight,neck,8192,0.21672514081001282,0.24819816209980147,0.9694491624832153,0.0018252276349812746,0.0015499865403398871,0.0116119384765625
model.11.cv2.bn.weight,neck,64,0.005567262880504131,0.0007017667442845536,0.9999998211860657,0.0004119873046875,0.0005652849795296788,0.00244140625
model.11.cv2.bn.bias,neck,64,0.019776934757828712,0.1745454702657327,0.9846517443656921,0.0018737725913524628,0.001625303877517581,0.007568359375
