epoch,loss_cst,loss_replay,loss_total,mAP50_T3,P_T3,R_T3,F1_T3,mAP50_T1,P_T1,R_T1,F1_T1,fm_abs,fm_stage3,mAP50_T1_tiny,mAP50_T1_small,mAP50_T1_normal,mAP50_T1_large,lr
0,0.0748763754963874,0.0,0.0748763754963874,0.042132496529232,0.1236922235403778,0.116237390547391,0.1198489927973508,0.2064115936652013,0.2668432738774754,0.3669042624351547,0.3089745647216203,-0.4660884063347986,-0.4339601331043471,0.0413586732350111,0.12998199220281,0.2505156993445558,0.0101317449918398,0.0004995116152859
1,0.05369708314538,0.0,0.05369708314538,0.0655027738468723,0.1466828808434593,0.116928670182805,0.1301265754769577,0.127077556718623,0.1840449263828041,0.3376934383722274,0.2382449449902111,-0.545422443281377,-0.5132941700509255,0.0045073722318304,0.08979084714713,0.1511018535410202,6.349292881586466e-05,0.0004980483885753
2,0.0460975691676139,0.0,0.0460975691676139,0.0738761139595323,0.2098195548308043,0.1131138307132981,0.1469869308525236,0.0816851253540528,0.1386557124958629,0.2716477563626154,0.1835983171731486,-0.5908148746459472,-0.5586866014154956,0.0007013480273777,0.0747536307561699,0.0919001558300932,0.0,0.0004956160945553
3,0.0421884320676326,0.0,0.0421884320676326,0.082873258387756,0.2168063043818348,0.1300885862051308,0.1626084810281832,0.0679909677798388,0.1229350071960043,0.2542238517564287,0.1657286329260747,-0.6045090322201612,-0.5723807589897096,0.0006054434220939,0.0596269485365147,0.0787890240708283,0.0,0.0004922243323793
4,0.039550419896841,0.0,0.039550419896841,0.065471347530914,0.1857152709300547,0.0986737672179835,0.1288743443271381,0.0570627367217013,0.1104173879903186,0.219590744686122,0.1469456904497766,-0.6154372632782986,-0.5833089900478471,0.0002623039620498,0.056340072940447,0.0651680020276917,0.0,0.000487886487783
5,0.037602350115776,0.0,0.037602350115776,0.0704956098620306,0.1899565528992061,0.1098622561319064,0.1392111157801377,0.0527159727216365,0.0986383039816203,0.2229268856628515,0.1367631237572687,-0.6197840272783635,-0.5876557540479119,0.0003586299266061,0.0419696273060019,0.0642164404082743,0.0,0.0004826196802573
6,0.0359744355082511,0.0,0.0359744355082511,0.0628065161441738,0.1945761603259279,0.1149090162885885,0.1444886984303747,0.0481778538026729,0.0924525260925586,0.2148672975606533,0.1292791606998973,-0.6243221461973271,-0.5921938729668755,0.0003024781675917,0.0524064934064383,0.0546632954735906,0.0,0.0004764446954853
7,0.0346557758748531,0.0,0.0346557758748531,0.0755632910585702,0.1631679490436751,0.130604304190238,0.1450813425461878,0.0393251847550039,0.0835449501624381,0.1645939652182529,0.1108330356010498,-0.6331748152449961,-0.6010465420145445,0.0002034463158089,0.0451325652139193,0.0436459793293098,0.0,0.0004693859033108
8,0.0335810333490371,0.0,0.0335810333490371,0.0663747183267259,0.1589947171789029,0.1253690982541137,0.1401938167803366,0.049902482418726,0.0991542835028665,0.1882277163949858,0.1298869404566702,-0.6225975175812739,-0.5904692443508224,0.0002942377720305,0.046633030041939,0.0584713713049327,0.0,0.0004614711615617
9,0.0325636081397533,0.0,0.0325636081397533,0.0689313170343769,0.1856977073134149,0.1162117875979312,0.1429584884441364,0.0381613734639742,0.0830370387624715,0.1716956514558456,0.1119377214841792,-0.6343386265360257,-0.6022103533055742,0.0001768692995484,0.0392173630040225,0.0438307281013807,0.0,0.0004527317061077
