sequence,mAP50
03_7951_1500-2999,0.006103
20190925_130434_1_1,0.000000
20190925_130434_1_5,0.661110
20190925_130434_1_6,0.890250
20190925_130434_1_8,0.776320
20190925_131530_1_3,0.729805
20190925_133630_1_9,0.562597
20190925_140917_1_3,0.518319
20190925_140917_1_6,0.400323
20190925_141417_1_1,0.749265
20190925_141417_1_6,0.372399
20190925_141417_1_7,0.475118
20190925_143900_1_1,0.555966
20190925_143900_1_2,0.657188
20190925_143900_1_7,0.335405
20190925_152412_1_3,0.265594
20190925_152412_1_5,0.353983
20190925_183946_1_1,0.268006
20190925_183946_1_2,0.668298
20190925_183946_1_3,0.790168
20190925_194211_1_3,0.467092
20190925_194211_1_4,0.726022
20190925_200320_1_4,0.947946
20190925_200320_1_8,0.995000
20190925_205804_1_5,0.424179
20190925_205804_1_6,0.586421
20190925_210802_1_3,0.823652
20190925_210802_1_6,0.667036
20190925_210802_1_8,0.877829
20190925_213001_1_1,0.395875
20190925_213001_1_3,0.756768
20190925_222534_1_5,0.987094
20190925_222534_1_7,0.749837
20190925_222534_1_8,0.428807
20190926_095902_1_3,0.604351
20190926_095902_1_8,0.572113
20190926_103046_1_2,0.157950
20190926_103046_1_8,0.891514
20190926_130341_1_5,0.895368
20190926_133516_1_2,0.994851
20190926_133516_1_3,0.993735
20190926_133516_1_5,0.285378
20190926_133516_1_6,0.582400
20190926_141816_1_2,0.687957
20190926_141816_1_4,0.985342
20190926_141816_1_6,0.533317
20190926_141816_1_9,0.620255
20190926_142435_1_9,0.688523
20190926_143632_1_2,0.935939
20190926_143632_1_4,0.994191
20190926_143632_1_8,0.707493
20190926_144550_1_1,0.624140
20190926_144550_1_10,0.995000
20190926_144550_1_4,0.906703
20190926_144550_1_7,0.884388
20190926_183400_1_1,0.625584
20190926_183400_1_4,0.989134
20190926_183400_1_6,0.629428
20190926_183941_1_3,0.788447
20190926_183941_1_5,0.978839
20190926_195921_1_1,0.382352
20190926_195921_1_5,0.483262
20190926_195921_1_6,0.414031
20190926_195921_1_8,0.881664
20190926_200510_1_2,0.493318
20190926_200510_1_3,0.575417
20190926_200510_1_4,0.562039
20190926_200510_1_5,0.921470
20190926_200510_1_6,0.977990
20190926_200510_1_7,0.976947
20190926_200510_1_8,0.809474
3700000000002_091732_1,0.025697
3700000000002_105009_1,0.000203
3700000000002_105103_3,0.000000
3700000000002_105103_6,0.000016
3700000000002_105103_8,0.000000
3700000000002_105837_2,0.000000
3700000000002_110352_1,0.000061
3700000000002_110743_1,0.000126
3700000000002_111356_3,0.000035
3700000000002_143252_1,0.075446
3700000000002_143252_3,0.000134
3700000000002_153139_1,0.055478
3700000000002_162623_2,0.023856
new28_train-new,0.010759
new29_train-new,0.018971
new30_train-new,0.014838
new36_train-new,0.009422
new40_train-new,0.000951
new8_train-new,0.000198
