name,group,n_params,l2_abs,l2_rel,cos_sim,diff_mean,diff_std,diff_max
model.0.conv.weight,backbone,216,0.22586248815059662,0.24487658861284936,0.9696243405342102,0.01194863859564066,0.009687093086540699,0.0502777099609375
model.0.bn.weight,backbone,8,0.06801321357488632,0.027278094583615475,0.9997661113739014,0.01904296875,0.015696769580245018,0.0390625
model.0.bn.bias,backbone,8,0.47896626591682434,0.24395579704782291,0.9953514337539673,0.1387786865234375,0.10373903065919876,0.32421875
model.0.bn.running_mean,backbone,8,0.0524546317756176,0.0939481021160382,0.995987057685852,0.01728057861328125,0.007196636870503426,0.02752685546875
model.0.bn.running_var,backbone,8,0.009582173079252243,0.24693614073579795,0.9877308011054993,0.00280916690826416,0.002024376066401601,0.00696563720703125
model.1.cv1.conv.weight,backbone,32,0.16090579330921173,0.24801910046120287,0.9707689881324768,0.023569293320178986,0.01617874577641487,0.074798583984375
model.1.cv1.bn.weight,backbone,4,0.04955994710326195,0.03008495498496491,0.999736487865448,0.023193359375,0.010074067860841751,0.03759765625
model.1.cv1.bn.bias,backbone,4,0.08610820025205612,0.14700562417709734,0.9891562461853027,0.03204631805419922,0.033200182020664215,0.08131027221679688
model.1.cv1.bn.running_mean,backbone,4,0.027170654386281967,0.14440438780905218,0.9955964088439941,0.0108795166015625,0.009394838474690914,0.02142333984375
model.1.cv1.bn.running_var,backbone,4,0.010522514581680298,0.24970674254183423,0.9926317930221558,0.004573822021484375,0.0030024389270693064,0.008758544921875
model.1.cv2.conv.weight,backbone,32,0.2170865833759308,0.2910612727258073,0.9601184725761414,0.029345393180847168,0.02512531168758869,0.08984375
model.1.cv2.bn.weight,backbone,4,0.10975255072116852,0.056043762438552316,0.9994138479232788,0.0467529296875,0.033177684992551804,0.076171875
model.1.cv2.bn.bias,backbone,4,0.0826747715473175,0.07106553900627022,0.9977584481239319,0.033599853515625,0.027804778888821602,0.06787109375
model.1.cv2.bn.running_mean,backbone,4,0.051545415073633194,0.4622449013639531,0.8938637971878052,0.022165298461914062,0.015184728428721428,0.04453277587890625
model.1.cv2.bn.running_var,backbone,4,0.006788626313209534,0.2165684152511918,0.9992858171463013,0.003223419189453125,0.0012279691873118281,0.00457000732421875
model.1.cv3.conv.weight,backbone,64,0.31214237213134766,0.3166513255245191,0.9509212970733643,0.029627345502376556,0.02558985725045204,0.10191679000854492
model.1.cv3.bn.weight,backbone,8,0.08669983595609665,0.030731614106334914,0.999534010887146,0.027099609375,0.015314560383558273,0.060546875
model.1.cv3.bn.bias,backbone,8,0.1098843589425087,0.11457869207818308,0.9963675737380981,0.03344440460205078,0.021133409813046455,0.06268310546875
model.1.cv3.bn.running_mean,backbone,8,0.12346768379211426,0.3255237986872053,0.9528707265853882,0.03684520721435547,0.025024889037013054,0.08094024658203125
model.1.cv3.bn.running_var,backbone,8,0.01570734940469265,0.12308557177757769,0.9924066662788391,0.00438690185546875,0.0036402824334800243,0.0095367431640625
model.1.m.0.cv1.conv.weight,backbone,16,0.08247432857751846,0.217352094575708,0.9778128266334534,0.016159534454345703,0.013226049952208996,0.037872314453125
model.1.m.0.cv1.bn.weight,backbone,4,0.03227461501955986,0.0209266155959247,0.9999779462814331,0.0152587890625,0.00606432743370533,0.0224609375
model.1.m.0.cv1.bn.bias,backbone,4,0.04427367448806763,0.045281732689538855,0.9990037083625793,0.0191650390625,0.01279275119304657,0.031982421875
model.1.m.0.cv1.bn.running_mean,backbone,4,0.014616799540817738,0.17488678641245553,0.9924761056900024,0.006419181823730469,0.004034321289509535,0.01171875
model.1.m.0.cv1.bn.running_var,backbone,4,0.0015586960362270474,0.11347130871350018,0.9978678822517395,0.0006928443908691406,0.00041206786409020424,0.001068115234375
model.1.m.0.cv2.conv.weight,backbone,144,0.1783309131860733,0.2540701245968227,0.9690454006195068,0.011749767698347569,0.009130639024078846,0.046722412109375
model.1.m.0.cv2.bn.weight,backbone,4,0.03443681076169014,0.02301446938323437,0.9999310970306396,0.01513671875,0.009476514533162117,0.02294921875
model.1.m.0.cv2.bn.bias,backbone,4,0.0830867663025856,0.539593013057378,0.8923545479774475,0.033316612243652344,0.028655562549829483,0.07080078125
model.1.m.0.cv2.bn.running_mean,backbone,4,0.058617204427719116,0.17973698141474076,0.9837596416473389,0.024932861328125,0.017789384350180626,0.04913330078125
model.1.m.0.cv2.bn.running_var,backbone,4,0.04190542548894882,0.19273227980009439,0.9891936779022217,0.014251708984375,0.017735272645950317,0.04052734375
model.2.conv.weight,backbone,216,0.0006742608966305852,0.2810546894679413,1.0,3.9826940337661654e-05,2.2825093765277416e-05,7.617473602294922e-05
model.2.bn.weight,backbone,8,0.0,0.0,0.9999999403953552,0.0,0.0,0.0
model.2.bn.bias,backbone,8,0.0,0.0,1.0,0.0,0.0,0.0
model.2.bn.running_mean,backbone,8,0.0,0.0,0.0,0.0,0.0,0.0
model.2.bn.running_var,backbone,8,0.0,0.0,0.0,0.0,0.0,0.0
model.3.cv1.conv.weight,backbone,32,0.0017115585505962372,0.8710478346892666,0.7040625810623169,0.0002159327268600464,0.00021532954997383058,0.0008486509323120117
model.3.cv1.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.cv1.bn.bias,backbone,4,0.0,0.0,0.9999998807907104,0.0,0.0,0.0
model.3.cv1.bn.running_mean,backbone,4,0.0002452729968354106,1.7418922463978737,0.6045551300048828,0.00010704994201660156,6.908952491357923e-05,0.00018912553787231445
model.3.cv1.bn.running_var,backbone,4,0.0,0.0,0.0,0.0,0.0,0.0
model.3.cv2.conv.weight,backbone,32,0.0004271158832125366,0.2809994560288462,0.9999996423721313,6.346404552459717e-05,4.155914575676434e-05,0.00013899803161621094
model.3.cv2.bn.weight,backbone,4,0.0,0.0,1.0,0.0,0.0,0.0
model.3.cv2.bn.bias,backbone,4,5.560828867601231e-06,4.928717265423317e-05,1.0,1.9073486328125e-06,2.336015541004599e-06,4.76837158203125e-06
model.3.cv2.bn.running_mean,backbone,4,1.7800744899432175e-05,0.2809736211947819,0.999997615814209,7.838010787963867e-06,4.869253189099254e-06,1.329183578491211e-05
model.3.cv2.bn.running_var,backbone,4,0.0,0.0,0.0,0.0,0.0,0.0
