sequence,mAP50
03_7951_1500-2999,0.004499
20190925_130434_1_1,0.000000
20190925_130434_1_5,0.622132
20190925_130434_1_6,0.890663
20190925_130434_1_8,0.791727
20190925_131530_1_3,0.712370
20190925_133630_1_9,0.545023
20190925_140917_1_3,0.384496
20190925_140917_1_6,0.397267
20190925_141417_1_1,0.713921
20190925_141417_1_6,0.370827
20190925_141417_1_7,0.469072
20190925_143900_1_1,0.537919
20190925_143900_1_2,0.644521
20190925_143900_1_7,0.344158
20190925_152412_1_3,0.280527
20190925_152412_1_5,0.360061
20190925_183946_1_1,0.407850
20190925_183946_1_2,0.735941
20190925_183946_1_3,0.802900
20190925_194211_1_3,0.461780
20190925_194211_1_4,0.762022
20190925_200320_1_4,0.945658
20190925_200320_1_8,0.995000
20190925_205804_1_5,0.453317
20190925_205804_1_6,0.587921
20190925_210802_1_3,0.837992
20190925_210802_1_6,0.659734
20190925_210802_1_8,0.889405
20190925_213001_1_1,0.393668
20190925_213001_1_3,0.729009
20190925_222534_1_5,0.986253
20190925_222534_1_7,0.740065
20190925_222534_1_8,0.413863
20190926_095902_1_3,0.588642
20190926_095902_1_8,0.536311
20190926_103046_1_2,0.114163
20190926_103046_1_8,0.909167
20190926_130341_1_5,0.893989
20190926_133516_1_2,0.994792
20190926_133516_1_3,0.994033
20190926_133516_1_5,0.288313
20190926_133516_1_6,0.564856
20190926_141816_1_2,0.600214
20190926_141816_1_4,0.986880
20190926_141816_1_6,0.523215
20190926_141816_1_9,0.606636
20190926_142435_1_9,0.698727
20190926_143632_1_2,0.921004
20190926_143632_1_4,0.994817
20190926_143632_1_8,0.729215
20190926_144550_1_1,0.590500
20190926_144550_1_10,0.995000
20190926_144550_1_4,0.908224
20190926_144550_1_7,0.873678
20190926_183400_1_1,0.636282
20190926_183400_1_4,0.992727
20190926_183400_1_6,0.644302
20190926_183941_1_3,0.796970
20190926_183941_1_5,0.982557
20190926_195921_1_1,0.370035
20190926_195921_1_5,0.499025
20190926_195921_1_6,0.447283
20190926_195921_1_8,0.856060
20190926_200510_1_2,0.442988
20190926_200510_1_3,0.545127
20190926_200510_1_4,0.463883
20190926_200510_1_5,0.830044
20190926_200510_1_6,0.973616
20190926_200510_1_7,0.972594
20190926_200510_1_8,0.807453
3700000000002_091732_1,0.022562
3700000000002_105009_1,0.000200
3700000000002_105103_3,0.000000
3700000000002_105103_6,0.000008
3700000000002_105103_8,0.000000
3700000000002_105837_2,0.000000
3700000000002_110352_1,0.000040
3700000000002_110743_1,0.000104
3700000000002_111356_3,0.000033
3700000000002_143252_1,0.063536
3700000000002_143252_3,0.000000
3700000000002_153139_1,0.059779
3700000000002_162623_2,0.021648
new28_train-new,0.009391
new29_train-new,0.025658
new30_train-new,0.012040
new36_train-new,0.004598
new40_train-new,0.000979
new8_train-new,0.000364
