name,group,n_params,l2_abs,l2_rel,cos_sim,diff_mean,diff_std,diff_max
model.0.conv.weight,backbone,216,0.2751343846321106,0.2982964106633076,0.9551283717155457,0.01457886304706335,0.011770988814532757,0.0663604736328125
model.0.bn.weight,backbone,8,0.0941370278596878,0.037755586228103044,0.9996172785758972,0.02581787109375,0.022454017773270607,0.0546875
model.0.bn.bias,backbone,8,0.5055627226829529,0.2575023874253498,0.9945568442344666,0.1465301513671875,0.10943033546209335,0.3564453125
model.0.bn.running_mean,backbone,8,0.06602910161018372,0.11826045805143323,0.9947817921638489,0.020267486572265625,0.012384749948978424,0.0430908203125
model.0.bn.running_var,backbone,8,0.011623834259808064,0.2995505037249384,0.9809616804122925,0.0033354759216308594,0.002566552022472024,0.0090789794921875
model.1.cv1.conv.weight,backbone,32,0.2019849270582199,0.3113381991127688,0.952847957611084,0.029655002057552338,0.020205795764923096,0.092010498046875
model.1.cv1.bn.weight,backbone,4,0.06253432482481003,0.03796094340959772,0.9996175169944763,0.028076171875,0.015889784321188927,0.05029296875
model.1.cv1.bn.bias,backbone,4,0.09163045883178711,0.156433333350026,0.9877102971076965,0.03599834442138672,0.03272419422864914,0.08417892456054688
model.1.cv1.bn.running_mean,backbone,4,0.040362656116485596,0.21451616747924696,0.9838806390762329,0.01690673828125,0.012725207954645157,0.030517578125
model.1.cv1.bn.running_var,backbone,4,0.012186411768198013,0.28919220422921676,0.9855265021324158,0.0051403045654296875,0.003777905832976103,0.01021575927734375
model.1.cv2.conv.weight,backbone,32,0.25404608249664307,0.3406151359175921,0.946385383605957,0.03633946180343628,0.026809731498360634,0.098052978515625
model.1.cv2.bn.weight,backbone,4,0.15740236639976501,0.08037554272597848,0.9987363219261169,0.065673828125,0.05007760226726532,0.109375
model.1.cv2.bn.bias,backbone,4,0.08780954778194427,0.07547928740812083,0.9972084164619446,0.03326416015625,0.033088259398937225,0.0693359375
model.1.cv2.bn.running_mean,backbone,4,0.061288513243198395,0.5496182874534121,0.8517762422561646,0.02654266357421875,0.01768455095589161,0.052001953125
model.1.cv2.bn.running_var,backbone,4,0.007613200228661299,0.24287368790692462,0.9988482594490051,0.0035181045532226562,0.0016785487532615662,0.0049896240234375
model.1.cv3.conv.weight,backbone,64,0.34393182396888733,0.3488999817813473,0.9408481121063232,0.032204851508140564,0.028705216944217682,0.12218046188354492
model.1.cv3.bn.weight,backbone,8,0.12263444066047668,0.0434689900501361,0.9990915060043335,0.03692626953125,0.024292299523949623,0.0830078125
model.1.cv3.bn.bias,backbone,8,0.15463076531887054,0.16123669479251698,0.9933369159698486,0.04422760009765625,0.03435534983873367,0.100341796875
model.1.cv3.bn.running_mean,backbone,8,0.13049745559692383,0.3440578632417716,0.946284830570221,0.03681039810180664,0.02973584085702896,0.09767532348632812
model.1.cv3.bn.running_var,backbone,8,0.017572933807969093,0.13770462156506189,0.9905824661254883,0.005131721496582031,0.0037441663444042206,0.010498046875
model.1.m.0.cv1.conv.weight,backbone,16,0.09976756572723389,0.2629265342991213,0.9662569165229797,0.020278453826904297,0.014998036436736584,0.050445556640625
model.1.m.0.cv1.bn.weight,backbone,4,0.0431625172495842,0.027986248823947568,0.9999581575393677,0.020263671875,0.008573937229812145,0.0302734375
model.1.m.0.cv1.bn.bias,backbone,4,0.05239035561680794,0.05358322086389176,0.9985675811767578,0.022369384765625,0.015739459544420242,0.0408935546875
model.1.m.0.cv1.bn.running_mean,backbone,4,0.017458483576774597,0.20888690987725805,0.9874191880226135,0.008128166198730469,0.003675609827041626,0.0130615234375
model.1.m.0.cv1.bn.running_var,backbone,4,0.0021893479861319065,0.15938205746451659,0.9995698928833008,0.0010561943054199219,0.00033219411852769554,0.00144195556640625
model.1.m.0.cv2.conv.weight,backbone,144,0.20950712263584137,0.2984872325330916,0.9568033814430237,0.01414017379283905,0.01027633249759674,0.050323486328125
model.1.m.0.cv2.bn.weight,backbone,4,0.049598414450883865,0.033147122674516,0.9998577237129211,0.022216796875,0.012723451480269432,0.03125
model.1.m.0.cv2.bn.bias,backbone,4,0.08233120292425156,0.5346861339235057,0.9072165489196777,0.031982421875,0.029927274212241173,0.0748291015625
model.1.m.0.cv2.bn.running_mean,backbone,4,0.07190350443124771,0.22047654721490753,0.976151704788208,0.02337646484375,0.031539805233478546,0.06842041015625
model.1.m.0.cv2.bn.running_var,backbone,4,0.05468497797846794,0.2515082558793621,0.9821192026138306,0.018341064453125,0.023415582254529,0.05279541015625
model.2.conv.weight,backbone,216,0.0009837772231549025,0.4100715366131061,1.0000001192092896,5.810928632854484e-05,3.330289473524317e-05,0.0001112222671508789
model.2.bn.weight,backbone,8,0.0,0.0,0.9999999403953552,0.0,0.0,0.0
model.2.bn.bias,backbone,8,0.0,0.0,1.0,0.0,0.0,0.0
