epoch,loss_cst,loss_replay,loss_total,mAP50_T3,P_T3,R_T3,F1_T3,mAP50_T1,P_T1,R_T1,F1_T1,fm_abs,fm_stage3,mAP50_T1_tiny,mAP50_T1_small,mAP50_T1_normal,mAP50_T1_large,lr
0,0.07487637549638748,0.0,0.07487637549638748,0.04213249652923201,0.12369222354037784,0.11623739054739106,0.11984899279735084,0.20641159366520134,0.2668432738774754,0.3669042624351547,0.3089745647216203,-0.46608840633479864,-0.4339601331043471,0.041358673235011106,0.12998199220281,0.25051569934455586,0.010131744991839862,0.0004995116152859972
1,0.05369708314538002,0.0,0.05369708314538002,0.06550277384687239,0.1466828808434593,0.11692867018280506,0.13012657547695775,0.12707755671862303,0.18404492638280417,0.33769343837222743,0.23824494499021115,-0.545422443281377,-0.5132941700509255,0.004507372231830419,0.08979084714713007,0.15110185354102024,6.349292881586466e-05,0.0004980483885753333
2,0.04609756916761398,0.0,0.04609756916761398,0.07387611395953236,0.20981955483080433,0.11311383071329817,0.14698693085252365,0.08168512535405283,0.1386557124958629,0.2716477563626154,0.1835983171731486,-0.5908148746459472,-0.5586866014154956,0.0007013480273777847,0.07475363075616995,0.09190015583009323,0.0,0.0004956160945553505
3,0.042188432067632675,0.0,0.042188432067632675,0.08287325838775605,0.21680630438183482,0.13008858620513084,0.1626084810281832,0.0679909677798388,0.1229350071960043,0.2542238517564287,0.16572863292607473,-0.6045090322201612,-0.5723807589897096,0.0006054434220939026,0.05962694853651476,0.0787890240708283,0.0,0.0004922243323793363
4,0.03955041989684105,0.0,0.03955041989684105,0.06547134753091403,0.1857152709300547,0.09867376721798352,0.12887434432713815,0.057062736721701354,0.11041738799031864,0.219590744686122,0.1469456904497766,-0.6154372632782986,-0.5833089900478471,0.0002623039620498403,0.05634007294044701,0.06516800202769174,0.0,0.0004878864877830505
5,0.03760235011577606,0.0,0.03760235011577606,0.07049560986203064,0.18995655289920615,0.1098622561319064,0.1392111157801377,0.05271597272163653,0.0986383039816203,0.22292688566285157,0.13676312375726876,-0.6197840272783635,-0.5876557540479119,0.0003586299266061622,0.04196962730600197,0.06421644040827433,0.0,0.00048261968025734226
6,0.03597443550825119,0.0,0.03597443550825119,0.06280651614417383,0.19457616032592798,0.11490901628858856,0.1444886984303747,0.048177853802672914,0.09245252609255863,0.21486729756065334,0.12927916069989737,-0.6243221461973271,-0.5921938729668755,0.0003024781675917868,0.05240649340643833,0.054663295473590647,0.0,0.00047644469548533986
7,0.034655775874853134,0.0,0.034655775874853134,0.07556329105857025,0.16316794904367515,0.13060430419023802,0.14508134254618785,0.03932518475500392,0.08354495016243813,0.16459396521825298,0.11083303560104983,-0.6331748152449961,-0.6010465420145445,0.000203446315808905,0.04513256521391934,0.04364597932930982,0.0,0.00046938590331085624
8,0.03358103334903717,0.0,0.03358103334903717,0.06637471832672592,0.15899471717890296,0.12536909825411377,0.14019381678033668,0.04990248241872608,0.09915428350286652,0.18822771639498587,0.1298869404566702,-0.6225975175812739,-0.5904692443508224,0.000294237772030528,0.04663303004193904,0.0584713713049327,0.0,0.0004614711615617487
9,0.03256360813975334,0.0,0.03256360813975334,0.06893131703437694,0.18569770731341492,0.11621178759793128,0.14295848844413644,0.038161373463974274,0.0830370387624715,0.17169565145584567,0.11193772148417921,-0.6343386265360257,-0.6022103533055742,0.00017686929954842574,0.03921736300402257,0.04383072810138072,0.0,0.0004527317061077995
10,0.03174896538257599,0.0,0.03174896538257599,0.0706672095840916,0.1878423567928821,0.11948896512878283,0.14606444068368696,0.03394828267512534,0.07599275975544761,0.15996961138912286,0.10303788852009634,-0.6385517173248747,-0.6064234440944232,0.00014836284553970024,0.03151168633612522,0.03995772193779868,0.0,0.00044320202758700784
11,0.03092329204082489,0.0,0.03092329204082489,0.0712666221196004,0.18820831462074925,0.1305750422448666,0.15418187997059876,0.03434100818060744,0.07220158500960762,0.1607953888586104,0.0996552165041787,-0.6381589918193925,-0.606030718588941,0.00014566514395031148,0.03356065299994477,0.040324242775221314,0.0,0.0004329197352867994
12,0.030210038647055626,0.0,0.030210038647055626,0.07604437754258032,0.18133299290403218,0.12251011316503661,0.14622760916733044,0.030925779700853025,0.06552784181407656,0.16054765561776413,0.09306927553361638,-0.641574220299147,-0.6094459470686955,0.00018894945199846345,0.029169550936708175,0.035979075533430736,0.0,0.0004219254087173504
